p1; P 1
p2_1/n2/a2_1/b; P 2_1/n 2/a 2_1/b
pbcn(-cba); Pbcn (-cba)
pbcn[-cba]; Pbcn [-cba]
p2/b2_1/n2_1/a; P 2/b 2_1/n 2_1/a
pbcn(bca); Pbcn (bca)
pbcn[bca]; Pbcn [bca]
p2_1/c2_1/n2/b; P 2_1/c 2_1/n 2/b
pbcn(a-cb); Pbcn (a-cb)
pbcn[a-cb]; Pbcn [a-cb]
pbca; Pbca
p2_1/b2_1/c2_1/a; P 2_1/b 2_1/c 2_1/a
p2_1/c2_1/a2_1/b; P 2_1/c 2_1/a 2_1/b
pbca(ba-c); Pbca (ba-c)
pbca[ba-c]; Pbca [ba-c]
pnma; Pnma
p2_1/n2_1/m2_1/a; P 2_1/n 2_1/m 2_1/a
p2_1/m2_1/n2_1/b; P 2_1/m 2_1/n 2_1/b
pnma(ba-c); Pnma (ba-c)
pnma[ba-c]; Pnma [ba-c]
p2_1/b2_1/n2_1/m; P 2_1/b 2_1/n 2_1/m
pnma(cab); Pnma (cab)
pnma[cab]; Pnma [cab]
p2_1/c2_1/m2_1/n; P 2_1/c 2_1/m 2_1/n
pnma(-cba); Pnma (-cba)
pnma[-cba]; Pnma [-cba]
p2_1/m2_1/c2_1/n; P 2_1/m 2_1/c 2_1/n
pnma(bca); Pnma (bca)
pnma[bca]; Pnma [bca]
p2_1/n2_1/a2_1/m; P 2_1/n 2_1/a 2_1/m
pnma(a-cb); Pnma (a-cb)
pnma[a-cb]; Pnma [a-cb]
cmcm; Cmcm
c2/m2/c2_1/m; C 2/m 2/c 2_1/m
c2/c2/m2_1/m; C 2/c 2/m 2_1/m
cmcm(ba-c); Cmcm (ba-c)
cmcm[ba-c]; Cmcm [ba-c]
a2_1/m2/m2/a; A 2_1/m 2/m 2/a
cmcm(cab); Cmcm (cab)
cmcm[cab]; Cmcm [cab]
a2_1/m2/a2/m; A 2_1/m 2/a 2/m
cmcm(-cba); Cmcm (-cba)
cmcm[-cba]; Cmcm [-cba]
b2/b2_1/m2/m; B 2/b 2_1/m 2/m
cmcm(bca); Cmcm (bca)
cmcm[bca]; Cmcm [bca]
b2/m2_1/m2/b; B 2/m 2_1/m 2/b
cmcm(a-cb); Cmcm (a-cb)
cmcm[a-cb]; Cmcm [a-cb]
cmce; Cmce
c2/m2/c2_1/e; C 2/m 2/c 2_1/e
c2/c2/m2_1/e; C 2/c 2/m 2_1/e
cmce(ba-c); Cmce (ba-c)
cmce[ba-c]; Cmce [ba-c]
a2_1/e2/m2/a; A 2_1/e 2/m 2/a
cmce(cab); Cmce (cab)
cmce[cab]; Cmce [cab]
a2_1/e2/a2/m; A 2_1/e 2/a 2/m
cmce(-cba); Cmce (-cba)
cmce[-cba]; Cmce [-cba]
b2/b2_1/e2/m; B 2/b 2_1/e 2/m
cmce(bca); Cmce (bca)
cmce[bca]; Cmce [bca]
b2/m2_1/e2/b; B 2/m 2_1/e 2/b
cmce(a-cb); Cmce (a-cb)
cmce[a-cb]; Cmce [a-cb]
cmmm; Cmmm
c2/m2/m2/m; C 2/m 2/m 2/m
a2/m2/m2/m; A 2/m 2/m 2/m
cmmm(cab); Cmmm (cab)
cmmm[cab]; Cmmm [cab]
b2/m2/m2/m; B 2/m 2/m 2/m
cmmm(bca); Cmmm (bca)
cmmm[bca]; Cmmm [bca]
cccm; Cccm
c2/c2/c2/m; C 2/c 2/c 2/m
a2/m2/a2/a; A 2/m 2/a 2/a
cccm(cab); Cccm (cab)
cccm[cab]; Cccm [cab]
b2/b2/m2/b; B 2/b 2/m 2/b
cccm(bca); Cccm (bca)
cccm[bca]; Cccm [bca]
cmme; Cmme
c2/m2/m2/e; C 2/m 2/m 2/e
c2/m2/m2/e(ba-c); C 2/m 2/m 2/e (ba-c)
c2/m2/m2/e[ba-c]; C 2/m 2/m 2/e [ba-c]
cmme(ba-c); Cmme (ba-c)
cmme[ba-c]; Cmme [ba-c]
a2/e2/m2/m; A 2/e 2/m 2/m
a2/e2/m2/m(cab); A 2/e 2/m 2/m (cab)
a2/e2/m2/m[cab]; A 2/e 2/m 2/m [cab]
cmme(cab); Cmme (cab)
cmme[cab]; Cmme [cab]
a2/e2/m2/m(-cba); A 2/e 2/m 2/m (-cba)
a2/e2/m2/m[-cba]; A 2/e 2/m 2/m [-cba]
cmme(-cba); Cmme (-cba)
cmme[-cba]; Cmme [-cba]
b2/m2/e2/m; B 2/m 2/e 2/m
b2/m2/e2/m(bca); B 2/m 2/e 2/m (bca)
b2/m2/e2/m[bca]; B 2/m 2/e 2/m [bca]
cmme(bca); Cmme (bca)
cmme[bca]; Cmme [bca]
b2/m2/e2/m(a-cb); B 2/m 2/e 2/m (a-cb)
b2/m2/e2/m[a-cb]; B 2/m 2/e 2/m [a-cb]
cmme(a-cb); Cmme (a-cb)
cmme[a-cb]; Cmme [a-cb]
ccce; Ccce
c2/c2/c2/e; C 2/c 2/c 2/e
ccce(1abc); Ccce (1abc)
ccce[1abc]; Ccce [1abc]
ccce(2abc); Ccce (2abc)
ccce[2abc]; Ccce [2abc]
ccce(1ba-c); Ccce (1ba-c)
ccce[1ba-c]; Ccce [1ba-c]
c2/c2/c2/e(ba-c); C 2/c 2/c 2/e (ba-c)
c2/c2/c2/e[ba-c]; C 2/c 2/c 2/e [ba-c]
ccce(2ba-c); Ccce (2ba-c)
ccce[2ba-c]; Ccce [2ba-c]
a2/e2/a2/a; A 2/e 2/a 2/a
ccce(1cab); Ccce (1cab)
ccce[1cab]; Ccce [1cab]
a2/e2/a2/a(cab); A 2/e 2/a 2/a (cab)
a2/e2/a2/a[cab]; A 2/e 2/a 2/a [cab]
ccce(2cab); Ccce (2cab)
ccce[2cab]; Ccce [2cab]
ccce(1-cba); Ccce (1-cba)
ccce[1-cba]; Ccce [1-cba]
a2/e2/a2/a(-cba); A 2/e 2/a 2/a (-cba)
a2/e2/a2/a[-cba]; A 2/e 2/a 2/a [-cba]
ccce(2-cba); Ccce (2-cba)
ccce[2-cba]; Ccce [2-cba]
b2/b2/e2/b; B 2/b 2/e 2/b
ccce(1bca); Ccce (1bca)
ccce[1bca]; Ccce [1bca]
b2/b2/e2/b(bca); B 2/b 2/e 2/b (bca)
b2/b2/e2/b[bca]; B 2/b 2/e 2/b [bca]
ccce(2bca); Ccce (2bca)
ccce[2bca]; Ccce [2bca]
ccce(1a-cb); Ccce (1a-cb)
ccce[1a-cb]; Ccce [1a-cb]
b2/b2/e2/b(a-cb); B 2/b 2/e 2/b (a-cb)
b2/b2/e2/b[a-cb]; B 2/b 2/e 2/b [a-cb]
ccce(2a-cb); Ccce (2a-cb)
ccce[2a-cb]; Ccce [2a-cb]
fmmm; Fmmm
f2/m2/m2/m; F 2/m 2/m 2/m
fddd; Fddd
f2/d2/d2/d; F 2/d 2/d 2/d
f2/d2/d2/d:1; F 2/d 2/d 2/d : 1
fddd:1; Fddd : 1
fddd(1); Fddd (1)
fddd[1]; Fddd [1]
f2/d2/d2/d:2; F 2/d 2/d 2/d : 2
fddd:2; Fddd : 2
fddd(2); Fddd (2)
fddd[2]; Fddd [2]
immm; Immm
i2/m2/m2/m; I 2/m 2/m 2/m
ibam; Ibam
i2/b2/a2/m; I 2/b 2/a 2/m
i2/m2/c2/b; I 2/m 2/c 2/b
ibam(cab); Ibam (cab)
ibam[cab]; Ibam [cab]
i2/c2/m2/a; I 2/c 2/m 2/a
ibam(bca); Ibam (bca)
ibam[bca]; Ibam [bca]
ibca; Ibca
i2/b2/c2/a; I 2/b 2/c 2/a
i2/c2/a2/b; I 2/c 2/a 2/b
ibca(ba-c); Ibca (ba-c)
ibca[ba-c]; Ibca [ba-c]
imma; Imma
i2/m2/m2/a; I 2/m 2/m 2/a
i2/m2/m2/b; I 2/m 2/m 2/b
imma(ba-c); Imma (ba-c)
imma[ba-c]; Imma [ba-c]
i2/b2/m2/m; I 2/b 2/m 2/m
imma(cab); Imma (cab)
imma[cab]; Imma [cab]
i2/c2/m2/m; I 2/c 2/m 2/m
imma(-cba); Imma (-cba)
imma[-cba]; Imma [-cba]
i2/m2/c2/m; I 2/m 2/c 2/m
imma(bca); Imma (bca)
imma[bca]; Imma [bca]
i2/m2/a2/m; I 2/m 2/a 2/m
imma(a-cb); Imma (a-cb)
imma[a-cb]; Imma [a-cb]
p4; P 4
p4_1; P 4_1
p4_2; P 4_2
p4_3; P 4_3
i4; I 4
i4_1; I 4_1
p-4; P -4
i-4; I -4
p4/m; P 4/m
p4_2/m; P 4_2/m
p4/n; P 4/n
p4/n:1; P 4/n : 1
p4/n(1); P4/n (1)
p4/n[1]; P4/n [1]
p4/n:2; P 4/n : 2
p4/n(2); P4/n (2)
p4/n[2]; P4/n [2]
p4_2/n; P 4_2/n
p4_2/n:1; P 4_2/n : 1
p4_2/n(1); P4_2/n (1)
p4_2/n[1]; P4_2/n [1]
p4_2/n:2; P 4_2/n : 2
p4_2/n(2); P4_2/n (2)
p4_2/n[2]; P4_2/n [2]
i4/m; I 4/m
i4_1/a; I 4_1/a
i4_1/a:1; I 4_1/a : 1
i4_1/a(1); I4_1/a (1)
i4_1/a[1]; I4_1/a [1]
i4_1/a:2; I 4_1/a : 2
i4_1/a(2); I4_1/a (2)
i4_1/a[2]; I4_1/a [2]
p422; P 4 2 2
p42_12; P 4 2_1 2
p4_122; P 4_1 2 2
p4_12_12; P 4_1 2_1 2
p4_222; P 4_2 2 2
p4_22_12; P 4_2 2_1 2
p4_322; P 4_3 2 2
p4_32_12; P 4_3 2_1 2
i422; I 4 2 2
i4_122; I 4_1 2 2
p4mm; P 4 m m
p4bm; P 4 b m
p4_2cm; P 4_2 c m
p4_2nm; P 4_2 n m
p4cc; P 4 c c
p4nc; P 4 n c
p4_2mc; P 4_2 m c
p4_2bc; P 4_2 b c
i4mm; I 4 m m
i4cm; I 4 c m
i4_1md; I 4_1 m d
i4_1cd; I 4_1 c d
p-42m; P -4 2 m
p-42c; P -4 2 c
p-42_1m; P -4 2_1 m
p-42_1c; P -4 2_1 c
p-4m2; P -4 m 2
p-4c2; P -4 c 2
p-4b2; P -4 b 2
p-4n2; P -4 n 2
i-4m2; I -4 m 2
i-4c2; I -4 c 2
i-42m; I -4 2 m
i-42d; I -4 2 d
p4/mmm; P4/mmm
p4/m2/m2/m; P 4/m 2/m 2/m
p4/mcc; P4/mcc
p4/m2/c2/c; P 4/m 2/c 2/c
p4/nbm; P4/nbm
p4/n2/b2/m; P 4/n 2/b 2/m
p4/n2/b2/m:1; P 4/n 2/b 2/m : 1
p4/nbm:1; P4/nbm : 1
p4/nbm(1); P4/nbm (1)
p4/nbm[1]; P4/nbm [1]
p4/n2/b2/m:2; P 4/n 2/b 2/m : 2
p4/nbm:2; P4/nbm : 2
p4/nbm(2); P4/nbm (2)
p4/nbm[2]; P4/nbm [2]
p4/nnc; P4/nnc
p4/n2/n2/c; P 4/n 2/n 2/c
p4/n2/n2/c:1; P 4/n 2/n 2/c : 1
p4/nnc:1; P4/nnc : 1
p4/nnc(1); P4/nnc (1)
p4/nnc[1]; P4/nnc [1]
p4/n2/n2/c:2; P 4/n 2/n 2/c : 2
p4/nnc:2; P4/nnc : 2
p4/nnc(2); P4/nnc (2)
p4/nnc[2]; P4/nnc [2]
p4/mbm; P4/mbm
p4/m2_1/bm; P 4/m 2_1/b m
p4/mnc; P4/mnc
p4/m2_1/nc; P 4/m 2_1/n c
p4/nmm; P4/nmm
p4/n2_1/mm; P 4/n 2_1/m m
p4/n2_1/mm:1; P 4/n 2_1/m m : 1
p4/nmm:1; P4/nmm : 1
p4/nmm(1); P4/nmm (1)
p4/nmm[1]; P4/nmm [1]
p4/n2_1/mm:2; P 4/n 2_1/m m : 2
p4/nmm:2; P4/nmm : 2
p4/nmm(2); P4/nmm (2)
p4/nmm[2]; P4/nmm [2]
p4/ncc; P4/ncc
p4/n2_1/cc; P 4/n 2_1/c c
p4/n2_1/cc:1; P 4/n 2_1/c c : 1
p4/ncc:1; P4/ncc : 1
p4/ncc(1); P4/ncc (1)
p4/ncc[1]; P4/ncc [1]
p4/n2_1/cc:2; P 4/n 2_1/c c : 2
p4/ncc:2; P4/ncc : 2
p4/ncc(2); P4/ncc (2)
p4/ncc[2]; P4/ncc [2]
p4_2/mmc; P4_2/mmc
p4_2/m2/m2/c; P 4_2/m 2/m 2/c
p4_2/mcm; P4_2/mcm
p4_2/m2/c2/m; P 4_2/m 2/c 2/m
p4_2/nbc; P4_2/nbc
p4_2/n2/b2/c; P 4_2/n 2/b 2/c
p4_2/n2/b2/c:1; P 4_2/n 2/b 2/c : 1
p4_2/nbc:1; P4_2/nbc : 1
p4_2/nbc(1); P4_2/nbc (1)
p4_2/nbc[1]; P4_2/nbc [1]
p4_2/n2/b2/c:2; P 4_2/n 2/b 2/c : 2
p4_2/nbc:2; P4_2/nbc : 2
p4_2/nbc(2); P4_2/nbc (2)
p4_2/nbc[2]; P4_2/nbc [2]
p4_2/nnm; P4_2/nnm
p4_2/n2/n2/m; P 4_2/n 2/n 2/m
p4_2/n2/n2/m:1; P 4_2/n 2/n 2/m : 1
p4_2/nnm:1; P4_2/nnm : 1
p4_2/nnm(1); P4_2/nnm (1)
p4_2/nnm[1]; P4_2/nnm [1]
p4_2/n2/n2/m:2; P 4_2/n 2/n 2/m : 2
p4_2/nnm:2; P4_2/nnm : 2
p4_2/nnm(2); P4_2/nnm (2)
p4_2/nnm[2]; P4_2/nnm [2]
p4_2/mbc; P4_2/mbc
p4_2/m2_1/b2/c; P 4_2/m 2_1/b 2/c
p4_2/mnm; P4_2/mnm
p4_2/m2_1/n2/m; P 4_2/m 2_1/n 2/m
p4_2/nmc; P4_2/nmc
p4_2/n2_1/m2/c; P 4_2/n 2_1/m 2/c
p4_2/n2_1/m2/c:1; P 4_2/n 2_1/m 2/c : 1
p4_2/nmc:1; P4_2/nmc : 1
p4_2/nmc(1); P4_2/nmc (1)
p4_2/nmc[1]; P4_2/nmc [1]
p4_2/n2_1/m2/c:2; P 4_2/n 2_1/m 2/c : 2
p4_2/nmc:2; P4_2/nmc : 2
p4_2/nmc(2); P4_2/nmc (2)
p4_2/nmc[2]; P4_2/nmc [2]
p4_2/ncm; P4_2/ncm
p4_2/n2_1/c2/m; P 4_2/n 2_1/c 2/m
p4_2/n2_1/c2/m:1; P 4_2/n 2_1/c 2/m : 1
p4_2/ncm:1; P4_2/ncm : 1
p4_2/ncm(1); P4_2/ncm (1)
p4_2/ncm[1]; P4_2/ncm [1]
p4_2/n2_1/c2/m:2; P 4_2/n 2_1/c 2/m : 2
p4_2/ncm:2; P4_2/ncm : 2
p4_2/ncm(2); P4_2/ncm (2)
p4_2/ncm[2]; P4_2/ncm [2]
i4/mmm; I4/mmm
i4/m2/m2/m; I 4/m 2/m 2/m
i4/mcm; I4/mcm
i4/m2/c2/m; I 4/m 2/c 2/m
i4_1/amd; I4_1/amd
i4_1/a2/m2/d; I 4_1/a 2/m 2/d
i4_1/a2/m2/d:1; I 4_1/a 2/m 2/d : 1
i4_1/amd:1; I4_1/amd : 1
i4_1/amd(1); I4_1/amd (1)
i4_1/amd[1]; I4_1/amd [1]
i4_1/a2/m2/d:2; I 4_1/a 2/m 2/d : 2
i4_1/amd:2; I4_1/amd : 2
i4_1/amd(2); I4_1/amd (2)
i4_1/amd[2]; I4_1/amd [2]
i4_1/acd; I4_1/acd
i4_1/a2/c2/d; I 4_1/a 2/c 2/d
i4_1/a2/c2/d:1; I 4_1/a 2/c 2/d : 1
i4_1/acd:1; I4_1/acd : 1
i4_1/acd(1); I4_1/acd (1)
i4_1/acd[1]; I4_1/acd [1]
i4_1/a2/c2/d:2; I 4_1/a 2/c 2/d : 2
i4_1/acd:2; I4_1/acd : 2
i4_1/acd(2); I4_1/acd (2)
i4_1/acd[2]; I4_1/acd [2]
p3; P 3
p3_1; P 3_1
p3_2; P 3_2
r3; R 3
r3h; R 3 H
r3(h); R3 (H)
r3[h]; R3 [H]
r3r; R 3 R
r3(r); R3 (R)
r3[r]; R3 [R]
p-3; P -3
r-3; R -3
r-3h; R -3 H
r-3(h); R-3 (H)
r-3[h]; R-3 [H]
r-3r; R -3 R
r-3(r); R-3 (R)
r-3[r]; R-3 [R]
p312; P 3 1 2
p321; P 3 2 1
p3_112; P 3_1 1 2
p3_121; P 3_1 2 1
p3_212; P 3_2 1 2
p3_221; P 3_2 2 1
r32; R 3 2
r32h; R 3 2 H
r32(h); R32 (H)
r32[h]; R32 [H]
r32r; R 3 2 R
r32(r); R32 (R)
r32[r]; R32 [R]
p3m1; P 3 m 1
p31m; P 3 1 m
p3c1; P 3 c 1
p31c; P 3 1 c
r3m; R 3 m
r3mh; R 3 m H
r3m(h); R3m (H)
r3m[h]; R3m [H]
r3mr; R 3 m R
r3m(r); R3m (R)
r3m[r]; R3m [R]
r3c; R 3 c
r3ch; R 3 c H
r3c(h); R3c (H)
r3c[h]; R3c [H]
r3cr; R 3 c R
r3c(r); R3c (R)
r3c[r]; R3c [R]
p-31m; P-31m
p-312/m; P -3 1 2/m
p-31c; P-31c
p-312/c; P -3 1 2/c
p-3m1; P-3m1
p-32/m1; P -3 2/m 1
p-3c1; P-3c1
p-32/c1; P -3 2/c 1
r-3m; R-3m
r-32/m; R -3 2/m
r-32/mh; R -3 2/m H
r-3mh; R-3m H
r-3m(h); R-3m (H)
r-3m[h]; R-3m [H]
r-32/mr; R -3 2/m R
r-3mr; R-3m R
r-3m(r); R-3m (R)
r-3m[r]; R-3m [R]
r-3c; R-3c
r-32/c; R -3 2/c
r-32/ch; R -3 2/c H
r-3ch; R-3c H
r-3c(h); R-3c (H)
r-3c[h]; R-3c [H]
r-32/cr; R -3 2/c R
r-3cr; R-3c R
r-3c(r); R-3c (R)
r-3c[r]; R-3c [R]
p6; P 6
p6_1; P 6_1
p6_5; P 6_5
p6_2; P 6_2
p6_4; P 6_4
p6_3; P 6_3
p-6; P -6
p6/m; P 6/m
p6_3/m; P 6_3/m
p622; P 6 2 2
p6_122; P 6_1 2 2
p6_522; P 6_5 2 2
p6_222; P 6_2 2 2
p6_422; P 6_4 2 2
p6_322; P 6_3 2 2
p6mm; P 6 m m
p6cc; P 6 c c
p6_3cm; P 6_3 c m
p6_3mc; P 6_3 m c
p-6m2; P -6 m 2
p-6c2; P -6 c 2
p-62m; P -6 2 m
p-62c; P -6 2 c
p6/mmm; P6/mmm
p6/m2/m2/m; P 6/m 2/m 2/m
p6/mcc; P6/mcc
p6/m2/c2/c; P 6/m 2/c 2/c
p6_3/mcm; P6_3/mcm
p6_3/m2/c2/m; P 6_3/m 2/c 2/m
p6_3/mmc; P6_3/mmc
p6_3/m2/m2/c; P 6_3/m 2/m 2/c
p23; P 2 3
f23; F 2 3
i23; I 2 3
p2_13; P 2_1 3
i2_13; I 2_1 3
pm-3; Pm-3
p2/m-3; P 2/m -3
pn-3; Pn-3
p2/n-3; P 2/n -3
p2/n-3:1; P 2/n -3 : 1
pn-3:1; Pn-3 : 1
pn-3(1); Pn-3 (1)
pn-3[1]; Pn-3 [1]
p2/n-3:2; P 2/n -3 : 2
pn-3:2; Pn-3 : 2
pn-3(2); Pn-3 (2)
pn-3[2]; Pn-3 [2]
fm-3; Fm-3
f2/m-3; F 2/m -3
fd-3; Fd-3
f2/d-3; F 2/d -3
f2/d-3:1; F 2/d -3 : 1
fd-3:1; Fd-3 : 1
fd-3(1); Fd-3 (1)
fd-3[1]; Fd-3 [1]
f2/d-3:2; F 2/d -3 : 2
fd-3:2; Fd-3 : 2
fd-3(2); Fd-3 (2)
fd-3[2]; Fd-3 [2]
im-3; Im-3
i2/m-3; I 2/m -3
pa-3; Pa-3
p2_1/a-3; P 2_1/a -3
ia-3; Ia-3
i2_1/a-3; I 2_1/a -3
p432; P 4 3 2
p4_232; P 4_2 3 2
f432; F 4 3 2
f4_132; F 4_1 3 2
i432; I 4 3 2
p4_332; P 4_3 3 2
p4_132; P 4_1 3 2
i4_132; I 4_1 3 2
p-43m; P -4 3 m
f-43m; F -4 3 m
i-43m; I -4 3 m
p-43n; P -4 3 n
f-43c; F -4 3 c
i-43d; I -4 3 d
pm-3m; Pm-3m
p4/m-32/m; P 4/m -3 2/m
pn-3n; Pn-3n
p4/n-32/n; P 4/n -3 2/n
p4/n-32/n:1; P 4/n -3 2/n : 1
pn-3n:1; Pn-3n : 1
pn-3n(1); Pn-3n (1)
pn-3n[1]; Pn-3n [1]
p4/n-32/n:2; P 4/n -3 2/n : 2
pn-3n:2; Pn-3n : 2
pn-3n(2); Pn-3n (2)
pn-3n[2]; Pn-3n [2]
pm-3n; Pm-3n
p4_2/m-32/n; P 4_2/m -3 2/n
pn-3m; Pn-3m
p4_2/n-32/m; P 4_2/n -3 2/m
p4_2/n-32/m:1; P 4_2/n -3 2/m : 1
pn-3m:1; Pn-3m : 1
pn-3m(1); Pn-3m (1)
pn-3m[1]; Pn-3m [1]
p4_2/n-32/m:2; P 4_2/n -3 2/m : 2
pn-3m:2; Pn-3m : 2
pn-3m(2); Pn-3m (2)
pn-3m[2]; Pn-3m [2]
fm-3m; Fm-3m
f4/m-32/m; F 4/m -3 2/m
fm-3c; Fm-3c
f4/m-32/c; F 4/m -3 2/c
fd-3m; Fd-3m
f4_1/d-32/m; F 4_1/d -3 2/m
f4_1/d-32/m:1; F 4_1/d -3 2/m : 1
fd-3m:1; Fd-3m : 1
fd-3m(1); Fd-3m (1)
fd-3m[1]; Fd-3m [1]
f4_1/d-32/m:2; F 4_1/d -3 2/m : 2
fd-3m:2; Fd-3m : 2
fd-3m(2); Fd-3m (2)
fd-3m[2]; Fd-3m [2]
fd-3c; Fd-3c
f4_1/d-32/c; F 4_1/d -3 2/c
f4_1/d-32/c:1; F 4_1/d -3 2/c : 1
fd-3c:1; Fd-3c : 1
fd-3c(1); Fd-3c (1)
fd-3c[1]; Fd-3c [1]
f4_1/d-32/c:2; F 4_1/d -3 2/c : 2
fd-3c:2; Fd-3c : 2
fd-3c(2); Fd-3c (2)
fd-3c[2]; Fd-3c [2]
im-3m; Im-3m
i4/m-32/m; I 4/m -3 2/m
ia-3d; Ia-3d
i4_1/a-32/d; I 4_1/a -3 2/d
