MSG_BNS_num  MSG_UNI_symb                   MSG_magHall_symb        MSG_generators
51.304       Pmma.1'_I[Immb]                -P 2a 2a 1'I            (-x+1/2,y,z);(x,-y,z);(x+1/2,y,-z);(x+1/2,y+1/2,z+1/2)'
52.305       Pnna.1                         -P 2a 2bc               (-x,y+1/2,z+1/2);(x+1/2,-y+1/2,z+1/2);(x+1/2,y,-z)
52.306       Pnna.1'                        -P 2a 2bc 1'            (-x,y+1/2,z+1/2);(x+1/2,-y+1/2,z+1/2);(x+1/2,y,-z);(x,y,z)'
52.307       Pn'na                          P 2a' 2bc -1'           (-x,y+1/2,z+1/2)';(x+1/2,-y+1/2,z+1/2);(x+1/2,y,-z)
52.308       Pnn'a                          P 2a' 2bc' -1'          (-x,y+1/2,z+1/2);(x+1/2,-y+1/2,z+1/2)';(x+1/2,y,-z)
52.309       Pnna'                          P 2a 2bc' -1'           (-x,y+1/2,z+1/2);(x+1/2,-y+1/2,z+1/2);(x+1/2,y,-z)'
52.310       Pn'n'a                         -P 2a 2bc'              (-x,y+1/2,z+1/2)';(x+1/2,-y+1/2,z+1/2)';(x+1/2,y,-z)
52.311       Pnn'a'                         -P 2a' 2bc              (-x,y+1/2,z+1/2);(x+1/2,-y+1/2,z+1/2)';(x+1/2,y,-z)'
52.312       Pn'na'                         -P 2a' 2bc'             (-x,y+1/2,z+1/2)';(x+1/2,-y+1/2,z+1/2);(x+1/2,y,-z)'
52.313       Pn'n'a'                        P 2a 2bc -1'            (-x,y+1/2,z+1/2)';(x+1/2,-y+1/2,z+1/2)';(x+1/2,y,-z)'
52.314       Pnna.1'_a[Pncm]                -P 2a 2bc 1'a           (-x,y+1/2,z+1/2);(x+1/2,-y+1/2,z+1/2);(x+1/2,y,-z);(x+1/2,y,z)'
52.315       Pnna.1'_b[Pcna]                -P 2a 2bc 1'b           (-x,y+1/2,z+1/2);(x+1/2,-y+1/2,z+1/2);(x+1/2,y,-z);(x,y+1/2,z)'
52.316       Pnna.1'_c[Pbaa]                -P 2a 2bc 1'c           (-x,y+1/2,z+1/2);(x+1/2,-y+1/2,z+1/2);(x+1/2,y,-z);(x,y,z+1/2)'
52.317       Pnna.1'_A[Amaa]                -P 2a 2bc 1'A           (-x,y+1/2,z+1/2);(x+1/2,-y+1/2,z+1/2);(x+1/2,y,-z);(x,y+1/2,z+1/2)'
52.318       Pnna.1'_B[Bbmm]                -P 2a 2bc 1'B           (-x,y+1/2,z+1/2);(x+1/2,-y+1/2,z+1/2);(x+1/2,y,-z);(x+1/2,y,z+1/2)'
52.319       Pnna.1'_C[Ccca]                -P 2a 2bc 1'C           (-x,y+1/2,z+1/2);(x+1/2,-y+1/2,z+1/2);(x+1/2,y,-z);(x+1/2,y+1/2,z)'
52.320       Pnna.1'_I[Immb]                -P 2a 2bc 1'I           (-x,y+1/2,z+1/2);(x+1/2,-y+1/2,z+1/2);(x+1/2,y,-z);(x+1/2,y+1/2,z+1/2)'
53.321       Pmna.1                         -P 2ac 2                (-x,y,z);(x+1/2,-y,z+1/2);(x+1/2,y,-z+1/2)
53.322       Pmna.1'                        -P 2ac 2 1'             (-x,y,z);(x+1/2,-y,z+1/2);(x+1/2,y,-z+1/2);(x,y,z)'
53.323       Pm'na                          P 2ac' 2 -1'            (-x,y,z)';(x+1/2,-y,z+1/2);(x+1/2,y,-z+1/2)
53.324       Pmn'a                          P 2ac' 2' -1'           (-x,y,z);(x+1/2,-y,z+1/2)';(x+1/2,y,-z+1/2)
53.325       Pmna'                          P 2ac 2' -1'            (-x,y,z);(x+1/2,-y,z+1/2);(x+1/2,y,-z+1/2)'
53.326       Pm'n'a                         -P 2ac 2'               (-x,y,z)';(x+1/2,-y,z+1/2)';(x+1/2,y,-z+1/2)
53.327       Pmn'a'                         -P 2ac' 2               (-x,y,z);(x+1/2,-y,z+1/2)';(x+1/2,y,-z+1/2)'
53.328       Pm'na'                         -P 2ac' 2'              (-x,y,z)';(x+1/2,-y,z+1/2);(x+1/2,y,-z+1/2)'
53.329       Pm'n'a'                        P 2ac 2 -1'             (-x,y,z)';(x+1/2,-y,z+1/2)';(x+1/2,y,-z+1/2)'
53.330       Pmna.1'_a[Pmcm]                -P 2ac 2 1'a            (-x,y,z);(x+1/2,-y,z+1/2);(x+1/2,y,-z+1/2);(x+1/2,y,z)'
53.331       Pmna.1'_b[Pmna]                -P 2ac 2 1'b            (-x,y,z);(x+1/2,-y,z+1/2);(x+1/2,y,-z+1/2);(x,y+1/2,z)'
53.332       Pmna.1'_c[Pmaa]                -P 2ac 2 1'c            (-x,y,z);(x+1/2,-y,z+1/2);(x+1/2,y,-z+1/2);(x,y,z+1/2)'
53.333       Pmna.1'_A[Amaa]                -P 2ac 2 1'A            (-x,y,z);(x+1/2,-y,z+1/2);(x+1/2,y,-z+1/2);(x,y+1/2,z+1/2)'
53.334       Pmna.1'_B[Bmmm]                -P 2ac 2 1'B            (-x,y,z);(x+1/2,-y,z+1/2);(x+1/2,y,-z+1/2);(x+1/2,y,z+1/2)'
53.335       Pmna.1'_C[Cmca]                -P 2ac 2 1'C            (-x,y,z);(x+1/2,-y,z+1/2);(x+1/2,y,-z+1/2);(x+1/2,y+1/2,z)'
53.336       Pmna.1'_I[Imma]                -P 2ac 2 1'I            (-x,y,z);(x+1/2,-y,z+1/2);(x+1/2,y,-z+1/2);(x+1/2,y+1/2,z+1/2)'
54.337       Pcca.1                         -P 2a 2ac               (-x+1/2,y,z+1/2);(x,-y,z+1/2);(x+1/2,y,-z)
54.338       Pcca.1'                        -P 2a 2ac 1'            (-x+1/2,y,z+1/2);(x,-y,z+1/2);(x+1/2,y,-z);(x,y,z)'
54.339       Pc'ca                          P 2a' 2ac -1'           (-x+1/2,y,z+1/2)';(x,-y,z+1/2);(x+1/2,y,-z)
54.340       Pcc'a                          P 2a' 2ac' -1'          (-x+1/2,y,z+1/2);(x,-y,z+1/2)';(x+1/2,y,-z)
54.341       Pcca'                          P 2a 2ac' -1'           (-x+1/2,y,z+1/2);(x,-y,z+1/2);(x+1/2,y,-z)'
54.342       Pc'c'a                         -P 2a 2ac'              (-x+1/2,y,z+1/2)';(x,-y,z+1/2)';(x+1/2,y,-z)
54.343       Pcc'a'                         -P 2a' 2ac              (-x+1/2,y,z+1/2);(x,-y,z+1/2)';(x+1/2,y,-z)'
54.344       Pc'ca'                         -P 2a' 2ac'             (-x+1/2,y,z+1/2)';(x,-y,z+1/2);(x+1/2,y,-z)'
54.345       Pc'c'a'                        P 2a 2ac -1'            (-x+1/2,y,z+1/2)';(x,-y,z+1/2)';(x+1/2,y,-z)'
54.346       Pcca.1'_a[Pccm]                -P 2a 2ac 1'a           (-x+1/2,y,z+1/2);(x,-y,z+1/2);(x+1/2,y,-z);(x+1/2,y,z)'
54.347       Pcca.1'_b[Pcca]                -P 2a 2ac 1'b           (-x+1/2,y,z+1/2);(x,-y,z+1/2);(x+1/2,y,-z);(x,y+1/2,z)'
54.348       Pcca.1'_c[Pmma]                -P 2a 2ac 1'c           (-x+1/2,y,z+1/2);(x,-y,z+1/2);(x+1/2,y,-z);(x,y,z+1/2)'
54.349       Pcca.1'_A[Abma]                -P 2a 2ac 1'A           (-x+1/2,y,z+1/2);(x,-y,z+1/2);(x+1/2,y,-z);(x,y+1/2,z+1/2)'
54.350       Pcca.1'_B[Bmcm]                -P 2a 2ac 1'B           (-x+1/2,y,z+1/2);(x,-y,z+1/2);(x+1/2,y,-z);(x+1/2,y,z+1/2)'
54.351       Pcca.1'_C[Cccb]                -P 2a 2ac 1'C           (-x+1/2,y,z+1/2);(x,-y,z+1/2);(x+1/2,y,-z);(x+1/2,y+1/2,z)'
54.352       Pcca.1'_I[Icab]                -P 2a 2ac 1'I           (-x+1/2,y,z+1/2);(x,-y,z+1/2);(x+1/2,y,-z);(x+1/2,y+1/2,z+1/2)'
55.353       Pbam.1                         -P 2 2ab                (-x+1/2,y+1/2,z);(x+1/2,-y+1/2,z);(x,y,-z)
55.354       Pbam.1'                        -P 2 2ab 1'             (-x+1/2,y+1/2,z);(x+1/2,-y+1/2,z);(x,y,-z);(x,y,z)'
55.355       Pb'am                          P 2' 2ab -1'            (-x+1/2,y+1/2,z)';(x+1/2,-y+1/2,z);(x,y,-z)
55.356       Pbam'                          P 2 2ab' -1'            (-x+1/2,y+1/2,z);(x+1/2,-y+1/2,z);(x,y,-z)'
55.357       Pb'a'm                         -P 2 2ab'               (-x+1/2,y+1/2,z)';(x+1/2,-y+1/2,z)';(x,y,-z)
55.358       Pb'am'                         -P 2' 2ab'              (-x+1/2,y+1/2,z)';(x+1/2,-y+1/2,z);(x,y,-z)'
55.359       Pb'a'm'                        P 2 2ab -1'             (-x+1/2,y+1/2,z)';(x+1/2,-y+1/2,z)';(x,y,-z)'
55.360       Pbam.1'_a[Pbmm]                -P 2 2ab 1'a            (-x+1/2,y+1/2,z);(x+1/2,-y+1/2,z);(x,y,-z);(x+1/2,y,z)'
55.361       Pbam.1'_c[Pbam]                -P 2 2ab 1'c            (-x+1/2,y+1/2,z);(x+1/2,-y+1/2,z);(x,y,-z);(x,y,z+1/2)'
55.362       Pbam.1'_A[Acam]                -P 2 2ab 1'A            (-x+1/2,y+1/2,z);(x+1/2,-y+1/2,z);(x,y,-z);(x,y+1/2,z+1/2)'
55.363       Pbam.1'_C[Cmmm]                -P 2 2ab 1'C            (-x+1/2,y+1/2,z);(x+1/2,-y+1/2,z);(x,y,-z);(x+1/2,y+1/2,z)'
55.364       Pbam.1'_I[Ibam]                -P 2 2ab 1'I            (-x+1/2,y+1/2,z);(x+1/2,-y+1/2,z);(x,y,-z);(x+1/2,y+1/2,z+1/2)'
56.365       Pccn.1                         -P 2ab 2ac              (-x+1/2,y,z+1/2);(x,-y+1/2,z+1/2);(x+1/2,y+1/2,-z)
56.366       Pccn.1'                        -P 2ab 2ac 1'           (-x+1/2,y,z+1/2);(x,-y+1/2,z+1/2);(x+1/2,y+1/2,-z);(x,y,z)'
56.367       Pc'cn                          P 2ab' 2ac -1'          (-x+1/2,y,z+1/2)';(x,-y+1/2,z+1/2);(x+1/2,y+1/2,-z)
56.368       Pccn'                          P 2ab 2ac' -1'          (-x+1/2,y,z+1/2);(x,-y+1/2,z+1/2);(x+1/2,y+1/2,-z)'
56.369       Pc'c'n                         -P 2ab 2ac'             (-x+1/2,y,z+1/2)';(x,-y+1/2,z+1/2)';(x+1/2,y+1/2,-z)
56.370       Pc'cn'                         -P 2ab' 2ac'            (-x+1/2,y,z+1/2)';(x,-y+1/2,z+1/2);(x+1/2,y+1/2,-z)'
56.371       Pc'c'n'                        P 2ab 2ac -1'           (-x+1/2,y,z+1/2)';(x,-y+1/2,z+1/2)';(x+1/2,y+1/2,-z)'
56.372       Pccn.1'_b[Pcca]                -P 2ab 2ac 1'b          (-x+1/2,y,z+1/2);(x,-y+1/2,z+1/2);(x+1/2,y+1/2,-z);(x,y+1/2,z)'
56.373       Pccn.1'_c[Pmmn]                -P 2ab 2ac 1'c          (-x+1/2,y,z+1/2);(x,-y+1/2,z+1/2);(x+1/2,y+1/2,-z);(x,y,z+1/2)'
56.374       Pccn.1'_A[Abma]                -P 2ab 2ac 1'A          (-x+1/2,y,z+1/2);(x,-y+1/2,z+1/2);(x+1/2,y+1/2,-z);(x,y+1/2,z+1/2)'
56.375       Pccn.1'_C[Cccm]                -P 2ab 2ac 1'C          (-x+1/2,y,z+1/2);(x,-y+1/2,z+1/2);(x+1/2,y+1/2,-z);(x+1/2,y+1/2,z)'
56.376       Pccn.1'_I[Ibam]                -P 2ab 2ac 1'I          (-x+1/2,y,z+1/2);(x,-y+1/2,z+1/2);(x+1/2,y+1/2,-z);(x+1/2,y+1/2,z+1/2)'
57.377       Pbcm.1                         -P 2c 2b                (-x,y+1/2,z);(x,-y+1/2,z+1/2);(x,y,-z+1/2)
57.378       Pbcm.1'                        -P 2c 2b 1'             (-x,y+1/2,z);(x,-y+1/2,z+1/2);(x,y,-z+1/2);(x,y,z)'
57.379       Pb'cm                          P 2c' 2b -1'            (-x,y+1/2,z)';(x,-y+1/2,z+1/2);(x,y,-z+1/2)
57.380       Pbc'm                          P 2c' 2b' -1'           (-x,y+1/2,z);(x,-y+1/2,z+1/2)';(x,y,-z+1/2)
57.381       Pbcm'                          P 2c 2b' -1'            (-x,y+1/2,z);(x,-y+1/2,z+1/2);(x,y,-z+1/2)'
57.382       Pb'c'm                         -P 2c 2b'               (-x,y+1/2,z)';(x,-y+1/2,z+1/2)';(x,y,-z+1/2)
57.383       Pbc'm'                         -P 2c' 2b               (-x,y+1/2,z);(x,-y+1/2,z+1/2)';(x,y,-z+1/2)'
57.384       Pb'cm'                         -P 2c' 2b'              (-x,y+1/2,z)';(x,-y+1/2,z+1/2);(x,y,-z+1/2)'
57.385       Pb'c'm'                        P 2c 2b -1'             (-x,y+1/2,z)';(x,-y+1/2,z+1/2)';(x,y,-z+1/2)'
57.386       Pbcm.1'_a[Pbcm]                -P 2c 2b 1'a            (-x,y+1/2,z);(x,-y+1/2,z+1/2);(x,y,-z+1/2);(x+1/2,y,z)'
57.387       Pbcm.1'_b[Pmcm]                -P 2c 2b 1'b            (-x,y+1/2,z);(x,-y+1/2,z+1/2);(x,y,-z+1/2);(x,y+1/2,z)'
57.388       Pbcm.1'_c[Pbmm]                -P 2c 2b 1'c            (-x,y+1/2,z);(x,-y+1/2,z+1/2);(x,y,-z+1/2);(x,y,z+1/2)'
57.389       Pbcm.1'_A[Acmm]                -P 2c 2b 1'A            (-x,y+1/2,z);(x,-y+1/2,z+1/2);(x,y,-z+1/2);(x,y+1/2,z+1/2)'
57.390       Pbcm.1'_B[Bbcm]                -P 2c 2b 1'B            (-x,y+1/2,z);(x,-y+1/2,z+1/2);(x,y,-z+1/2);(x+1/2,y,z+1/2)'
57.391       Pbcm.1'_C[Cmcm]                -P 2c 2b 1'C            (-x,y+1/2,z);(x,-y+1/2,z+1/2);(x,y,-z+1/2);(x+1/2,y+1/2,z)'
57.392       Pbcm.1'_I[Ibam]                -P 2c 2b 1'I            (-x,y+1/2,z);(x,-y+1/2,z+1/2);(x,y,-z+1/2);(x+1/2,y+1/2,z+1/2)'
58.393       Pnnm.1                         -P 2 2n                 (-x+1/2,y+1/2,z+1/2);(x+1/2,-y+1/2,z+1/2);(x,y,-z)
58.394       Pnnm.1'                        -P 2 2n 1'              (-x+1/2,y+1/2,z+1/2);(x+1/2,-y+1/2,z+1/2);(x,y,-z);(x,y,z)'
58.395       Pn'nm                          P 2' 2n -1'             (-x+1/2,y+1/2,z+1/2)';(x+1/2,-y+1/2,z+1/2);(x,y,-z)
58.396       Pnnm'                          P 2 2n' -1'             (-x+1/2,y+1/2,z+1/2);(x+1/2,-y+1/2,z+1/2);(x,y,-z)'
58.397       Pn'n'm                         -P 2 2n'                (-x+1/2,y+1/2,z+1/2)';(x+1/2,-y+1/2,z+1/2)';(x,y,-z)
58.398       Pnn'm'                         -P 2' 2n                (-x+1/2,y+1/2,z+1/2);(x+1/2,-y+1/2,z+1/2)';(x,y,-z)'
58.399       Pn'n'm'                        P 2 2n -1'              (-x+1/2,y+1/2,z+1/2)';(x+1/2,-y+1/2,z+1/2)';(x,y,-z)'
58.400       Pnnm.1'_a[Pncm]                -P 2 2n 1'a             (-x+1/2,y+1/2,z+1/2);(x+1/2,-y+1/2,z+1/2);(x,y,-z);(x+1/2,y,z)'
58.401       Pnnm.1'_c[Pbam]                -P 2 2n 1'c             (-x+1/2,y+1/2,z+1/2);(x+1/2,-y+1/2,z+1/2);(x,y,-z);(x,y,z+1/2)'
58.402       Pnnm.1'_B[Bbmm]                -P 2 2n 1'B             (-x+1/2,y+1/2,z+1/2);(x+1/2,-y+1/2,z+1/2);(x,y,-z);(x+1/2,y,z+1/2)'
58.403       Pnnm.1'_C[Cccm]                -P 2 2n 1'C             (-x+1/2,y+1/2,z+1/2);(x+1/2,-y+1/2,z+1/2);(x,y,-z);(x+1/2,y+1/2,z)'
58.404       Pnnm.1'_I[Immm]                -P 2 2n 1'I             (-x+1/2,y+1/2,z+1/2);(x+1/2,-y+1/2,z+1/2);(x,y,-z);(x+1/2,y+1/2,z+1/2)'
59.405       Pmmn.1                         -P 2ab 2a               (-x+1/2,y,z);(x,-y+1/2,z);(x+1/2,y+1/2,-z)
59.406       Pmmn.1'                        -P 2ab 2a 1'            (-x+1/2,y,z);(x,-y+1/2,z);(x+1/2,y+1/2,-z);(x,y,z)'
59.407       Pm'mn                          P 2ab' 2a -1'           (-x+1/2,y,z)';(x,-y+1/2,z);(x+1/2,y+1/2,-z)
59.408       Pmmn'                          P 2ab 2a' -1'           (-x+1/2,y,z);(x,-y+1/2,z);(x+1/2,y+1/2,-z)'
59.409       Pm'm'n                         -P 2ab 2a'              (-x+1/2,y,z)';(x,-y+1/2,z)';(x+1/2,y+1/2,-z)
59.410       Pmm'n'                         -P 2ab' 2a              (-x+1/2,y,z);(x,-y+1/2,z)';(x+1/2,y+1/2,-z)'
59.411       Pm'm'n'                        P 2ab 2a -1'            (-x+1/2,y,z)';(x,-y+1/2,z)';(x+1/2,y+1/2,-z)'
59.412       Pmmn.1'_b[Pmma]                -P 2ab 2a 1'b           (-x+1/2,y,z);(x,-y+1/2,z);(x+1/2,y+1/2,-z);(x,y+1/2,z)'
59.413       Pmmn.1'_c[Pmmn]                -P 2ab 2a 1'c           (-x+1/2,y,z);(x,-y+1/2,z);(x+1/2,y+1/2,-z);(x,y,z+1/2)'
59.414       Pmmn.1'_B[Bmmb]                -P 2ab 2a 1'B           (-x+1/2,y,z);(x,-y+1/2,z);(x+1/2,y+1/2,-z);(x+1/2,y,z+1/2)'
59.415       Pmmn.1'_C[Cmmm]                -P 2ab 2a 1'C           (-x+1/2,y,z);(x,-y+1/2,z);(x+1/2,y+1/2,-z);(x+1/2,y+1/2,z)'
59.416       Pmmn.1'_I[Immm]                -P 2ab 2a 1'I           (-x+1/2,y,z);(x,-y+1/2,z);(x+1/2,y+1/2,-z);(x+1/2,y+1/2,z+1/2)'
60.417       Pbcn.1                         -P 2n 2ab               (-x+1/2,y+1/2,z);(x,-y,z+1/2);(x+1/2,y+1/2,-z+1/2)
60.418       Pbcn.1'                        -P 2n 2ab 1'            (-x+1/2,y+1/2,z);(x,-y,z+1/2);(x+1/2,y+1/2,-z+1/2);(x,y,z)'
60.419       Pb'cn                          P 2n' 2ab -1'           (-x+1/2,y+1/2,z)';(x,-y,z+1/2);(x+1/2,y+1/2,-z+1/2)
60.420       Pbc'n                          P 2n' 2ab' -1'          (-x+1/2,y+1/2,z);(x,-y,z+1/2)';(x+1/2,y+1/2,-z+1/2)
60.421       Pbcn'                          P 2n 2ab' -1'           (-x+1/2,y+1/2,z);(x,-y,z+1/2);(x+1/2,y+1/2,-z+1/2)'
60.422       Pb'c'n                         -P 2n 2ab'              (-x+1/2,y+1/2,z)';(x,-y,z+1/2)';(x+1/2,y+1/2,-z+1/2)
60.423       Pbc'n'                         -P 2n' 2ab              (-x+1/2,y+1/2,z);(x,-y,z+1/2)';(x+1/2,y+1/2,-z+1/2)'
60.424       Pb'cn'                         -P 2n' 2ab'             (-x+1/2,y+1/2,z)';(x,-y,z+1/2);(x+1/2,y+1/2,-z+1/2)'
60.425       Pb'c'n'                        P 2n 2ab -1'            (-x+1/2,y+1/2,z)';(x,-y,z+1/2)';(x+1/2,y+1/2,-z+1/2)'
60.426       Pbcn.1'_a[Pbcb]                -P 2n 2ab 1'a           (-x+1/2,y+1/2,z);(x,-y,z+1/2);(x+1/2,y+1/2,-z+1/2);(x+1/2,y,z)'
60.427       Pbcn.1'_b[Pmca]                -P 2n 2ab 1'b           (-x+1/2,y+1/2,z);(x,-y,z+1/2);(x+1/2,y+1/2,-z+1/2);(x,y+1/2,z)'
60.428       Pbcn.1'_c[Pbmn]                -P 2n 2ab 1'c           (-x+1/2,y+1/2,z);(x,-y,z+1/2);(x+1/2,y+1/2,-z+1/2);(x,y,z+1/2)'
60.429       Pbcn.1'_A[Abma]                -P 2n 2ab 1'A           (-x+1/2,y+1/2,z);(x,-y,z+1/2);(x+1/2,y+1/2,-z+1/2);(x,y+1/2,z+1/2)'
60.430       Pbcn.1'_B[Bbcb]                -P 2n 2ab 1'B           (-x+1/2,y+1/2,z);(x,-y,z+1/2);(x+1/2,y+1/2,-z+1/2);(x+1/2,y,z+1/2)'
60.431       Pbcn.1'_C[Cmcm]                -P 2n 2ab 1'C           (-x+1/2,y+1/2,z);(x,-y,z+1/2);(x+1/2,y+1/2,-z+1/2);(x+1/2,y+1/2,z)'
60.432       Pbcn.1'_I[Ibam]                -P 2n 2ab 1'I           (-x+1/2,y+1/2,z);(x,-y,z+1/2);(x+1/2,y+1/2,-z+1/2);(x+1/2,y+1/2,z+1/2)'
61.433       Pbca.1                         -P 2ac 2ab              (-x+1/2,y+1/2,z);(x,-y+1/2,z+1/2);(x+1/2,y,-z+1/2)
61.434       Pbca.1'                        -P 2ac 2ab 1'           (-x+1/2,y+1/2,z);(x,-y+1/2,z+1/2);(x+1/2,y,-z+1/2);(x,y,z)'
61.435       Pb'ca                          P 2ac' 2ab -1'          (-x+1/2,y+1/2,z)';(x,-y+1/2,z+1/2);(x+1/2,y,-z+1/2)
61.436       Pb'c'a                         -P 2ac 2ab'             (-x+1/2,y+1/2,z)';(x,-y+1/2,z+1/2)';(x+1/2,y,-z+1/2)
61.437       Pb'c'a'                        P 2ac 2ab -1'           (-x+1/2,y+1/2,z)';(x,-y+1/2,z+1/2)';(x+1/2,y,-z+1/2)'
61.438       Pbca.1'_a[Pbcm]                -P 2ac 2ab 1'a          (-x+1/2,y+1/2,z);(x,-y+1/2,z+1/2);(x+1/2,y,-z+1/2);(x+1/2,y,z)'
61.439       Pbca.1'_C[Cmca]                -P 2ac 2ab 1'C          (-x+1/2,y+1/2,z);(x,-y+1/2,z+1/2);(x+1/2,y,-z+1/2);(x+1/2,y+1/2,z)'
61.440       Pbca.1'_I[Icab]                -P 2ac 2ab 1'I          (-x+1/2,y+1/2,z);(x,-y+1/2,z+1/2);(x+1/2,y,-z+1/2);(x+1/2,y+1/2,z+1/2)'
62.441       Pnma.1                         -P 2ac 2n               (-x+1/2,y+1/2,z+1/2);(x,-y+1/2,z);(x+1/2,y,-z+1/2)
62.442       Pnma.1'                        -P 2ac 2n 1'            (-x+1/2,y+1/2,z+1/2);(x,-y+1/2,z);(x+1/2,y,-z+1/2);(x,y,z)'
62.443       Pn'ma                          P 2ac' 2n -1'           (-x+1/2,y+1/2,z+1/2)';(x,-y+1/2,z);(x+1/2,y,-z+1/2)
62.444       Pnm'a                          P 2ac' 2n' -1'          (-x+1/2,y+1/2,z+1/2);(x,-y+1/2,z)';(x+1/2,y,-z+1/2)
62.445       Pnma'                          P 2ac 2n' -1'           (-x+1/2,y+1/2,z+1/2);(x,-y+1/2,z);(x+1/2,y,-z+1/2)'
62.446       Pn'm'a                         -P 2ac 2n'              (-x+1/2,y+1/2,z+1/2)';(x,-y+1/2,z)';(x+1/2,y,-z+1/2)
62.447       Pnm'a'                         -P 2ac' 2n              (-x+1/2,y+1/2,z+1/2);(x,-y+1/2,z)';(x+1/2,y,-z+1/2)'
62.448       Pn'ma'                         -P 2ac' 2n'             (-x+1/2,y+1/2,z+1/2)';(x,-y+1/2,z);(x+1/2,y,-z+1/2)'
62.449       Pn'm'a'                        P 2ac 2n -1'            (-x+1/2,y+1/2,z+1/2)';(x,-y+1/2,z)';(x+1/2,y,-z+1/2)'
62.450       Pnma.1'_a[Pnmm]                -P 2ac 2n 1'a           (-x+1/2,y+1/2,z+1/2);(x,-y+1/2,z);(x+1/2,y,-z+1/2);(x+1/2,y,z)'
62.451       Pnma.1'_b[Pcma]                -P 2ac 2n 1'b           (-x+1/2,y+1/2,z+1/2);(x,-y+1/2,z);(x+1/2,y,-z+1/2);(x,y+1/2,z)'
62.452       Pnma.1'_c[Pbma]                -P 2ac 2n 1'c           (-x+1/2,y+1/2,z+1/2);(x,-y+1/2,z);(x+1/2,y,-z+1/2);(x,y,z+1/2)'
62.453       Pnma.1'_A[Amma]                -P 2ac 2n 1'A           (-x+1/2,y+1/2,z+1/2);(x,-y+1/2,z);(x+1/2,y,-z+1/2);(x,y+1/2,z+1/2)'
62.454       Pnma.1'_B[Bbmm]                -P 2ac 2n 1'B           (-x+1/2,y+1/2,z+1/2);(x,-y+1/2,z);(x+1/2,y,-z+1/2);(x+1/2,y,z+1/2)'
62.455       Pnma.1'_C[Ccmb]                -P 2ac 2n 1'C           (-x+1/2,y+1/2,z+1/2);(x,-y+1/2,z);(x+1/2,y,-z+1/2);(x+1/2,y+1/2,z)'
62.456       Pnma.1'_I[Imma]                -P 2ac 2n 1'I           (-x+1/2,y+1/2,z+1/2);(x,-y+1/2,z);(x+1/2,y,-z+1/2);(x+1/2,y+1/2,z+1/2)'
63.457       Cmcm.1                         -C 2c 2                 (x+1/2,y+1/2,z);(-x,y,z);(x,-y,z+1/2);(x,y,-z+1/2)
63.458       Cmcm.1'                        -C 2c 2 1'              (x+1/2,y+1/2,z);(-x,y,z);(x,-y,z+1/2);(x,y,-z+1/2);(x,y,z)'
63.459       Cm'cm                          C 2c' 2 -1'             (x+1/2,y+1/2,z);(-x,y,z)';(x,-y,z+1/2);(x,y,-z+1/2)
63.460       Cmc'm                          C 2c' 2' -1'            (x+1/2,y+1/2,z);(-x,y,z);(x,-y,z+1/2)';(x,y,-z+1/2)
63.461       Cmcm'                          C 2c 2' -1'             (x+1/2,y+1/2,z);(-x,y,z);(x,-y,z+1/2);(x,y,-z+1/2)'
63.462       Cm'c'm                         -C 2c 2'                (x+1/2,y+1/2,z);(-x,y,z)';(x,-y,z+1/2)';(x,y,-z+1/2)
63.463       Cmc'm'                         -C 2c' 2                (x+1/2,y+1/2,z);(-x,y,z);(x,-y,z+1/2)';(x,y,-z+1/2)'
63.464       Cm'cm'                         -C 2c' 2'               (x+1/2,y+1/2,z);(-x,y,z)';(x,-y,z+1/2);(x,y,-z+1/2)'
63.465       Cm'c'm'                        C 2c 2 -1'              (x+1/2,y+1/2,z);(-x,y,z)';(x,-y,z+1/2)';(x,y,-z+1/2)'
63.466       Cmcm.1'_c[Cmmm]                -C 2c 2 1'c             (x+1/2,y+1/2,z);(-x,y,z);(x,-y,z+1/2);(x,y,-z+1/2);(x,y,z+1/2)'
63.467       Cmcm.1'_a[Pmcm]                -C 2c 2 1'a             (x+1/2,y+1/2,z);(-x,y,z);(x,-y,z+1/2);(x,y,-z+1/2);(x+1/2,y,z)'
63.468       Cmcm.1'_A[Fmmm]                -C 2c 2 1'A             (x+1/2,y+1/2,z);(-x,y,z);(x,-y,z+1/2);(x,y,-z+1/2);(x,y+1/2,z+1/2)'
64.469       Cmca.1                         -C 2bc 2                (x+1/2,y+1/2,z);(-x,y,z);(x+1/2,-y,z+1/2);(x+1/2,y,-z+1/2)
64.470       Cmca.1'                        -C 2bc 2 1'             (x+1/2,y+1/2,z);(-x,y,z);(x+1/2,-y,z+1/2);(x+1/2,y,-z+1/2);(x,y,z)'
64.471       Cm'ca                          C 2bc' 2 -1'            (x+1/2,y+1/2,z);(-x,y,z)';(x+1/2,-y,z+1/2);(x+1/2,y,-z+1/2)
64.472       Cmc'a                          C 2bc' 2' -1'           (x+1/2,y+1/2,z);(-x,y,z);(x+1/2,-y,z+1/2)';(x+1/2,y,-z+1/2)
64.473       Cmca'                          C 2bc 2' -1'            (x+1/2,y+1/2,z);(-x,y,z);(x+1/2,-y,z+1/2);(x+1/2,y,-z+1/2)'
64.474       Cm'c'a                         -C 2bc 2'               (x+1/2,y+1/2,z);(-x,y,z)';(x+1/2,-y,z+1/2)';(x+1/2,y,-z+1/2)
